School Name,Misconduct Num,School Police Num,Number of Offenders,Truancy Rate,Female Offenders,Male Offenders,Charter or Public,Address,Address_Upper,City,City_Upper,State,Zip
Carnegie ES,26,0,19,0,4,15,Public,301 Franklin Ave,301 FRANKLIN AVE, Carnegie, CARNEGIE,PA,15106
Crafton ES,1,0,1,0,0,1,Public,1874 Crafton Blvd,1874 CRAFTON BLVD, Pittsburgh, PITTSBURGH,PA,15205
Chartiers Valley HS,68,4.5,56,36.96,8,48,Public,50 Thoms Run Rd,50 THOMS RUN RD, Bridgeville, BRIDGEVILLE,PA,15017
Chartiers Valley IS,4,2,5,2.04,0,5,Public,2030 Swallow Hill Rd,2030 SWALLOW HILL RD, Pittsburgh, PITTSBURGH,PA,15220
Chartiers Valley MS,32,1.5,29,3.85,7,22,Public,3005 Grey Fox Cir,3005 GREY FOX CIR, Bridgeville, BRIDGEVILLE,PA,15017
Chartiers Valley PS,11,2,5,8.3,2,3,Public,125 Thoms Run Rd,125 THOMS RUN RD, Bridgeville, BRIDGEVILLE,PA,15017
Clairton ES,2,0,1,37.76,1,0,Public,501 Waddell Ave,501 WADDELL AVE, Clairton, CLAIRTON,PA,15025
Clariton MS/HS,4,0,7,34.41,5,2,Public,501 Waddell Ave,501 WADDELL AVE, Clairton, CLAIRTON,PA,15025
Cornell ES,1,0,2,7.03,0,2,Public,1099 Maple St Ext,1099 MAPLE ST EXT, Coraopolis, CORAOPOLIS,PA,15108
Cornell HS,4,0,6,4.29,5,1,Public,1099 Maple St Ext,1099 MAPLE ST EXT, Coraopolis, CORAOPOLIS,PA,15108
Curtisville PS,2,0.75,1,3.4,0,1,Public,1715 Saxonburg Blvd,1715 SAXONBURG BLVD, Tarentum, TARENTUM,PA,15084
Deer Lakes HS,33,0.75,29,3.95,7,22,Public,163 E Union Rd,163 E UNION RD, Cheswick, CHESWICK,PA,15024
Deer Lakes MS,43,0.75,30,8.07,4,26,Public,17 E Union Rd,17 E UNION RD, Russellton, RUSSELLTON,PA,15076
East Union IS,17,0.75,13,2.36,1,12,Public,57 E Union Rd,57 E UNION RD, Cheswick, CHESWICK,PA,15024
Duquesne Elementary School,52,1,34,33.54,8,26,Public,300 Kennedy Ave,300 KENNEDY AVE, Duquesne, DUQUESNE,PA,15110
East Allegheny JSHS,128,6,142,22.19,61,81,Public,1150 Jacks Run Rd,1150 JACKS RUN RD, North Versailles, NORTH VERSAILLES,PA,15137
Logan Elementary School,51,2,62,27.5,24,38,Public,1154 Jacks Run Rd,1154 JACKS RUN RD, North Versailles, NORTH VERSAILLES,PA,15137
Central ES,0,0,0,0,0,0,Public,4100 Middle Rd,4100 MIDDLE RD, Allison Park, ALLISON PARK,PA,15101
Elizabeth Forward MS,18,0,21,2.12,0,21,Public,401 Rock Run Rd,401 ROCK RUN RD, Elizabeth, ELIZABETH,PA,15037
Elizabeth Forward SHS,16,0,15,6.1,2,13,Public,1000 Weigles Hill Rd,1000 WEIGLES HILL RD, Elizabeth, ELIZABETH,PA,15037
Greenock ES,2,0,2,1.99,0,2,Public,1101 Greenock Buena Vista Rd,1101 GREENOCK BUENA VISTA RD, McKeesport, MCKEESPORT,PA,15135
Mt. Vernon ES,0,0,0,3.54,0,0,Public,2400 Greenock Buena Vista Rd,2400 GREENOCK BUENA VISTA RD, McKeesport, MCKEESPORT,PA,15135
Dorseyville MS,4,0.34,4,15.49,1,3,Public,3732 Saxonburg Blvd,3732 SAXONBURG BLVD, Pittsburgh, PITTSBURGH,PA,15238
Fairview ES,0,0.33,0,0.87,0,0,Public,738 Dorseyville Rd,738 DORSEYVILLE RD, Pittsburgh, PITTSBURGH,PA,15238
Fox Chapel Area HS,13,7,14,11.52,6,8,Public,611 Field Club Rd,611 FIELD CLUB RD, Pittsburgh, PITTSBURGH,PA,15238
Hartwood ES,0,0.33,0,1.42,0,0,Public,3730 Saxonburg Blvd,3730 SAXONBURG BLVD, Pittsburgh, PITTSBURGH,PA,15238
Kerr ES,4,0.15,3,13.18,0,3,Public,341 Kittanning Pike,341 KITTANNING PIKE, Pittsburgh, PITTSBURGH,PA,15215
Ohara ES,0,0.15,0,11.29,0,0,Public,115 Cabin Ln,115 CABIN LN, Pittsburgh, PITTSBURGH,PA,15238
Dr. Cleveland Steward Jr ES,11,1,8,17.34,5,3,Public,5000 Gateway Campus Blvd,5000 GATEWAY CAMPUS BLVD, Monroeville, MONROEVILLE,PA,15146
Evergreen ES,5,1,4,8.09,1,3,Public,3831 Evergreen Dr,3831 EVERGREEN DR, Monroeville, MONROEVILLE,PA,15146
